Reference,Bathrooms,Contrat,Energy_Class,Sale_Price,Property_Type,Year_Construction,Surface,Energy_Consumption,Elevator,Publish_date,Floor,Street,Heating,City,Country,Autonomous_Community,Bedrooms,Zone
580612,1 baño,venta,e,275000,Media,1996,113.00,"86,50 kW h/m&sup2; año",Sí,2024-09-13 10:23:38,5,Alameda de Barceló,,Málaga,es,Andalucía,2 dorm.,Fuenteolletas
587950,1 baño,venta,e,205000,Media,1992,66.00,"70,31 kW h/m&sup2; año",,2024-07-05 13:30:44,1 (planta media),Calle Amores,,Málaga,es,Andalucía,2 dorm.,Fuenteolletas
590760,1 baño,venta,e,190000,Media,1992,71.00,"89,0 kW h/m&sup2; año",,2024-07-30 10:00:46,1 (planta baja),C. Tizo,,Málaga,es,Andalucía,2 dorm.,Fuenteolletas
591130,1 baño,venta,e,82000,Media,1964,50.00,"115,5 kW h/m&sup2; año",,2024-08-02 11:48:18,4,Calle obispo franquis lasso,,Málaga,es,Andalucía,2 dorm.,Fuenteolletas
591760,1 baño,venta,e,89000,Media,1965,49.00,"130,3 kW h/m&sup2; año",,2024-09-03 11:58:18,3,Calle Obispo Franquis Lasso,,Málaga,es,Andalucía,2 dorm.,Fuenteolletas
599787,2 baños,venta,,190000,Media,1992,94.00,,,2024-10-31 11:00:05,2,Plaza de la Malagueta,,Sevilla,es,Andalucía,3 dorm.,Sevilla Este - Zona Este
590749,1 baño,venta,,165000,Media,1963,76.00,,,2024-07-29 17:24:50,2 (planta media),Calle naranco,,Sevilla,es,Andalucía,3 dorm.,El Plantinar - Tiro De Linea
592108,1 baño,venta,f,217260,Señorial,1963,90.00,"189,29 kW h/m&sup2; año",,2024-08-20 14:43:55,,Pl. del Aljarafe,,Sevilla,es,Andalucía,3 dorm.,El Plantinar - Tiro De Linea
592998,1 baño,venta,g,142000,Media,1970,67.00,"249,35 kW h/m&sup2; año",,2024-08-28 17:25:47,3,Av. de la Paz,,Sevilla,es,Andalucía,2 dorm.,El Plantinar - Tiro De Linea
589036,1 baño,venta,,166000,Media,1970,79.00,,,2024-07-17 18:58:19,1,Av. de la Paz,,Sevilla,es,Andalucía,2 dorm.,El Plantinar - Tiro De Linea
599720,,venta,,62000,Media,1969,47.00,,,2024-10-31 10:53:44,Baja,Calle Torres Naharro,,Sevilla,es,Andalucía,,Torreblanca
598093,2 baños,venta,e,395000,Popular,1999,100.00,"165,30 kW h/m&sup2; año",Sí,2024-10-24 09:29:42,,Av. de Grecia,,Sevilla,es,Andalucía,4 dorm.,Bami - Heliopolis - Bermejales - Bellavista
599239,2 baños,venta,c,530000,Señorial,2019,141.00,"39,78 kW h/m&sup2; año",,2024-10-28 13:28:31,Alta,C. Jandula,centralizada,Sevilla,es,Andalucía,4 dorm.,Bami - Reina Mercedes - Pineda
596746,1 baño,venta,,69900,Popular,1964,48.00,,,2024-10-04 11:06:01,3,C. Calamar,,Sevilla,es,Andalucía,2 dorm.,San Jeronimo
